Тип жилья,Кол-во комнат,Станция метро,Время в пути,Этаж,Общая площадь комнат,Наличие ремонта,Год постройки,Срок сдачи,Тип дома,Цена
Вторичка,3-комн,Бульвар Адмирала Ушакова,10 мин. пешком,1,76,Косметический,2002,,Панельный,11 500 000 
Вторичка,3-комн,Улица Академика Янгеля,4 мин. пешком,4,61,Косметический,1973,,Блочный,10 100 000 
Вторичка Апартаменты,2-комн,Бауманская,6 мин. пешком,5,"58,7",Дизайнерский,2015,,Монолитный,25 593 200 
Вторичка Апартаменты,4-комн,Автозаводская,6 мин. пешком,14,"127,97",,,,,36 727 390 
Новостройка,3-комн,Окская, откроется в 2019,17,63,,,2021,,12 379 500 
Новостройка,2-комн,Окская, откроется в 2019,3,41,,,2021,,8 036 000 
Новостройка,1-комн,Окская, откроется в 2019,29,"32,5",,,2021,,7 735 000 
Вторичка,3-комн,Новые Черемушки,24 мин. пешком,25,110,Без ремонта,2017,,Монолитный,27 000 000 
Вторичка,4-комн,Новые Черемушки,24 мин. пешком,22,180,Без ремонта,2017,,Монолитный,46 300 000 
Вторичка,1-комн,Арбатская,5 мин. пешком,4,49,Без ремонта,,,,41 650 000 
Вторичка,1-комн,Водный стадион,10 мин. пешком,22,"42,5",Без ремонта,2019,,Панельный,10 283 640 
Вторичка,2-комн,Водный стадион,10 мин. пешком,14,"63,6",Без ремонта,2019,,Панельный,13 833 000 
Вторичка,1-комн,Улица 1905 года,9 мин. пешком,11,"56,4",Евроремонт,2017,,Монолитный,31 000 000 
Вторичка,1-комн,Бунинская аллея,20 мин. пешком,5,"42,5",Евроремонт,,,,6 900 000 
Вторичка,2-комн,Алтуфьево,15 мин. пешком,12,"61,6",Без ремонта,,,,12 950 000 
Вторичка,3-комн,Беляево,10 мин. пешком,6,"95,4",Косметический,2010,,Монолитный,22 999 000 
Вторичка,3-комн,Кантемировская,4 мин. на транспорте,15,75,Евроремонт,1988,,Блочный,11 800 000 
